periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2024-01-31,32058,76,83.28,95420,31,GDMTH,4463
2024-02-29,30335,79,83.08,98320,29,GDMTH,4182
2024-03-31,36336,85,84.58,113080,31,GDMTH,4847
2024-04-30,35862,137,,114390,30,GDMTH,2460
2024-05-31,39697,161,87.79,118950,31,GDMTH,2015
2024-06-30,41939,191,87.75,125660,30,GDMTH,2193
2024-07-31,40167,162,88.09,120130,31,GDMTH,2230
2024-08-31,44219,266,89.85,131660,31,GDMTH,2198
2024-09-30,53218,308,91.36,163020,30,GDMTH,2164
2024-10-31,52982,295,,161820,31,GDMTH,2476
2024-11-30,49675,238,89.15,171640,30,GDMTH,6180
2024-12-31,50313,231,89.41,170820,31,GDMTH,7110
