periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2025-01-31,32900,78,83.41,99790,31,GDMTH,4585
2025-02-28,31165,81,83.21,103280,28,GDMTH,4295
2025-03-31,37326,87,84.71,118980,31,GDMTH,4980
2025-04-30,36838,141,,121170,30,GDMTH,2527
2025-05-31,40788,165,87.92,125810,31,GDMTH,2069
2025-06-30,43097,196,87.88,132820,30,GDMTH,2255
2025-07-31,41292,166,88.22,127020,31,GDMTH,2292
2025-08-31,45486,273,89.98,139190,31,GDMTH,2259
2025-09-30,54714,316,91.49,172530,30,GDMTH,2224
2025-10-31,54471,303,,171380,31,GDMTH,2545
2025-11-30,51040,244,89.28,181680,30,GDMTH,6365
2025-12-31,51672,237,89.54,180810,31,GDMTH,7323
