periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2023-01-31,31245,74,83.15,91250,31,GDMTH,4345
2023-02-28,29528,77,82.95,93580,28,GDMTH,4072
2023-03-31,35375,83,84.45,107510,31,GDMTH,4718
2023-04-30,34915,133,,107890,30,GDMTH,2396
2023-05-31,38638,157,87.66,112280,31,GDMTH,1961
2023-06-30,40815,186,87.62,118720,30,GDMTH,2134
2023-07-31,39055,158,87.96,113430,31,GDMTH,2171
2023-08-31,42970,259,89.72,124320,31,GDMTH,2141
2023-09-30,51765,300,91.23,153790,30,GDMTH,2107
2023-10-31,51555,287,,152550,31,GDMTH,2410
2023-11-30,48325,232,89.02,161920,30,GDMTH,6000
2023-12-31,48945,225,89.28,161180,31,GDMTH,6912
