periodo,consumo_total_kwh,demanda_maxima_kw,factor_potencia,costo_total,dias_facturados,tarifa,kwh_punta
2022-01-31,30452,72,83.02,87280,31,GDMTH,4230
2022-02-28,28744,75,82.82,89050,28,GDMTH,3966
2022-03-31,34428,81,84.32,102180,31,GDMTH,4593
2022-04-30,33982,130,,101560,30,GDMTH,2333
2022-05-31,37551,153,87.53,105860,31,GDMTH,1909
2022-06-30,39650,181,87.49,111890,30,GDMTH,2078
2022-07-31,37892,154,87.83,106910,31,GDMTH,2114
2022-08-31,41718,252,89.59,117170,31,GDMTH,2085
2022-09-30,50365,292,91.10,144830,30,GDMTH,2051
2022-10-31,50150,279,,143760,31,GDMTH,2346
2022-11-30,46917,226,88.89,152580,30,GDMTH,5842
2022-12-31,47542,219,89.60,151930,31,GDMTH,6730
